order_id,customer_id,product_id,quantity,unit_price,total_price,order_date,shipping_address,payment_method,status
1,446,154,93,734.36,8426.81,2020-11-28,063 Lyons Center,credit card,pending
2,52,202,21,76.26,5272.59,2021-05-19,18185 Mesta Plaza,Apple Pay,delivered
3,813,707,13,979.26,9412.06,2020-09-29,42 Fairfield Point,credit card,pending
4,276,175,71,564.81,4037.07,2020-08-03,98397 Katie Way,credit card,shipped
5,61,414,58,483.78,7991.65,2020-10-21,9 Stone Corner Plaza,Apple Pay,pending
6,695,482,94,98.26,4080.86,2020-08-19,776 Loomis Trail,Apple Pay,delivered
7,124,698,37,902.94,9524.54,2022-10-23,3 Butterfield Pass,Apple Pay,shipped
8,235,779,54,816.7,761.6,2022-12-22,28194 Continental Crossing,PayPal,processing
9,314,431,54,203.14,9756.87,2021-05-25,0 Carey Junction,Apple Pay,delivered
10,302,344,99,560.16,2182.21,2022-02-13,84813 Redwing Circle,credit card,delivered
11,403,932,95,558.05,9499.04,2022-03-06,255 Sheridan Pass,credit card,pending
12,322,165,59,781.14,4254.12,2021-05-24,1416 Gina Avenue,credit card,pending
13,323,314,22,569.85,9186.12,2022-12-18,58 Mesta Court,credit card,shipped
14,56,631,34,791.28,5667.39,2021-09-09,27196 Southridge Parkway,PayPal,delivered
15,972,383,23,22.72,7139.05,2020-04-11,458 Fieldstone Court,PayPal,processing
16,760,862,20,390.13,2176.08,2020-01-06,113 Roth Circle,credit card,pending
17,998,987,41,520.0,3398.9,2022-06-27,313 Atwood Way,PayPal,delivered
18,963,446,75,465.73,5391.01,2020-07-22,72658 Mosinee Court,credit card,delivered
19,413,269,91,459.56,2737.58,2021-11-13,9 Derek Place,credit card,delivered
20,492,773,80,220.02,2877.92,2022-05-31,17 Lawn Crossing,PayPal,pending
21,910,221,57,222.01,7432.97,2020-04-15,3731 Thackeray Road,PayPal,processing
22,820,176,87,730.29,5486.42,2020-09-01,8274 Rowland Circle,PayPal,processing
23,584,278,79,929.65,8615.5,2022-03-10,03 Hollow Ridge Road,Apple Pay,pending
24,105,132,2,3.45,1086.82,2022-05-25,8 Banding Court,Apple Pay,processing
25,733,716,92,985.78,5868.99,2020-02-29,921 Roxbury Road,Apple Pay,pending
26,785,822,24,288.15,6005.03,2020-07-26,21 Service Park,credit card,pending
27,433,410,60,806.67,2929.79,2021-10-08,55 Del Mar Circle,Apple Pay,shipped
28,473,440,46,185.09,9576.29,2022-04-05,18 Chinook Way,Apple Pay,pending
29,474,379,19,156.77,7063.35,2022-01-06,9 Crescent Oaks Way,credit card,processing
30,977,816,45,62.27,8733.55,2020-06-25,58 Sundown Crossing,Apple Pay,processing
31,329,381,3,586.94,3261.51,2020-05-18,9256 Vermont Hill,credit card,pending
32,899,171,1,406.57,2261.92,2022-06-15,95241 Johnson Circle,PayPal,delivered
33,25,865,89,52.97,342.62,2020-11-15,7 Transport Place,Apple Pay,shipped
34,780,388,43,350.57,4867.57,2021-10-26,6471 Mitchell Terrace,PayPal,processing
35,781,525,49,285.81,3190.04,2021-10-29,83535 Pine View Parkway,PayPal,pending
36,632,988,85,287.67,8731.65,2021-05-03,14 Sage Avenue,credit card,shipped
37,130,975,79,517.98,9442.94,2020-02-22,7 Kings Pass,Apple Pay,shipped
38,171,769,23,856.66,5897.39,2020-12-16,6 Bluestem Court,Apple Pay,processing
39,976,851,36,659.66,4702.67,2021-10-22,538 Green Ridge Circle,credit card,pending
40,412,735,73,432.91,9756.28,2020-07-24,10509 Mayfield Place,credit card,processing
41,942,863,45,89.95,5243.13,2020-04-08,5 Delaware Park,credit card,delivered
42,154,199,40,982.49,721.26,2020-05-14,714 Drewry Court,credit card,processing
43,508,776,56,555.92,1074.79,2020-07-31,22921 Crest Line Trail,credit card,delivered
44,136,898,40,226.87,420.69,2021-12-16,72 Ilene Trail,Apple Pay,shipped
45,296,435,53,106.04,6982.73,2022-09-14,3 Superior Street,PayPal,shipped
46,250,201,18,389.95,9077.16,2022-06-20,5693 Mockingbird Trail,PayPal,shipped
47,118,130,56,224.44,6188.67,2021-07-04,92 Artisan Drive,credit card,pending
48,773,185,12,646.95,4139.44,2021-04-28,691 Macpherson Court,credit card,pending
49,933,795,93,610.01,2674.44,2022-10-04,43801 Troy Trail,credit card,processing
50,752,531,11,622.83,3203.83,2020-04-24,64418 Springs Hill,PayPal,delivered
51,39,925,90,6.68,9817.31,2020-06-09,11 Steensland Park,PayPal,pending
52,854,382,22,668.77,6150.79,2020-10-13,9393 Farmco Crossing,Apple Pay,processing
53,345,394,26,70.25,4122.19,2020-03-13,254 Pleasure Place,PayPal,pending
54,805,629,47,142.94,2099.56,2020-06-15,4 Gerald Hill,Apple Pay,delivered
55,201,25,3,164.25,4431.19,2022-02-06,23574 Brickson Park Trail,credit card,pending
56,358,701,86,135.34,1239.98,2022-07-29,05774 Forest Run Terrace,PayPal,shipped
57,558,814,16,92.19,1236.23,2020-12-27,9 Carpenter Hill,credit card,processing
58,295,972,78,528.52,9355.15,2020-06-09,71 Monterey Street,credit card,delivered
59,801,389,78,7.76,889.93,2021-09-08,69 Norway Maple Park,credit card,processing
60,197,768,94,741.98,4730.74,2022-01-25,5 American Ash Court,credit card,processing
61,497,541,79,290.09,2553.26,2020-05-30,7 Stuart Park,Apple Pay,processing
62,254,26,98,836.35,8817.42,2021-04-30,5373 Merchant Street,PayPal,delivered
63,459,678,72,112.27,6231.78,2021-09-09,840 Surrey Way,Apple Pay,shipped
64,33,748,96,751.87,9537.79,2020-08-20,04 Merchant Avenue,PayPal,processing
65,757,117,99,365.15,1838.95,2022-03-09,959 Browning Avenue,PayPal,processing
66,261,526,43,862.62,5360.36,2020-04-28,24263 Algoma Trail,credit card,processing
67,418,69,24,686.11,3987.79,2022-06-14,747 Lawn Lane,credit card,processing
68,158,30,80,758.95,970.77,2021-04-30,55 Drewry Road,credit card,processing
